Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
callTestCase,Chrome 69.0.3497.92,,2018-09-14 16:05:19,2018-09-14 16:05:46,26.179s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-14 16:05:46,2018-09-14 16:05:46,0.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:46,2018-09-14 16:05:46,0.292s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-14 16:05:46,2018-09-14 16:05:46,0.003s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-14 16:05:46,2018-09-14 16:05:46,0.001s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:46,2018-09-14 16:05:47,0.593s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:47,2018-09-14 16:05:47,0.497s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-14 16:05:47,2018-09-14 16:05:47,0.001s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-14 16:05:47,2018-09-14 16:05:47,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:05:47,2018-09-14 16:05:47,0.399s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:47,2018-09-14 16:05:48,0.135s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-14 16:05:48,2018-09-14 16:05:49,1.101s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-14 16:05:49,2018-09-14 16:05:49,0.001s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:49,2018-09-14 16:05:51,2.002s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:51,2018-09-14 16:05:51,0.193s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:51,2018-09-14 16:05:53,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:05:53,2018-09-14 16:05:53,0.081s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-14 16:05:53,2018-09-14 16:05:53,0.080s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:05:53,2018-09-14 16:05:58,5.002s,PASSED
